76001,0,CALI
76111,1,BUGA
76122,2,CAICEDONIA
76147,3,CARTAGO
76109,4,PACIFICO
76520,5,PALMIRA
76834,6,TULUÁ
76895,7,ZARZAL
76892,14,YUMBO
19698,21,SANTANDER DE QUILICHAO
