id,name,year,tzrule,gmtoff,dstoff,dst_month,dst_startday,dst_weekday,dst_skipweeks,dst_time,std_month,std_startday,std_weekday,std_skipweeks,std_time
1,Africa/Algiers,1970,Algeria,0,60,4,1,1,0,02:00,9,16,-1,0,00:00
2,Africa/Algiers,1971,Algeria,0,60,4,25,-1,0,23:00,9,26,-1,0,23:00
3,Africa/Algiers,1977,Algeria,60,60,5,6,-1,0,01:00,10,21,-1,0,00:00
4,Africa/Algiers,1978,Algeria,60,60,3,24,-1,0,02:00,9,22,-1,0,03:00
5,Africa/Algiers,1979,Algeria,0,60,3,24,-1,0,01:00,9,22,-1,0,02:00
6,Africa/Algiers,1980,Algeria,0,60,4,25,-1,0,00:00,10,31,-1,0,01:00
7,Africa/Algiers,1981,,60,0,0,0,0,0,00:00,0,0,0,0,00:00
8,Atlantic/Cape_Verde,1970,,-120,0,0,0,0,0,00:00,0,0,0,0,00:00
9,Atlantic/Cape_Verde,1975,,-60,0,0,0,0,0,00:00,0,0,0,0,00:00
10,Africa/Ndjamena,1970,,60,0,0,0,0,0,00:00,0,0,0,0,00:00
11,Africa/Ndjamena,1979,,60,0,0,0,0,0,00:00,0,0,0,0,00:00
12,Africa/Abidjan,1970,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
13,Africa/Cairo,1970,Egypt,120,60,5,1,-1,0,03:00,10,1,-1,0,04:00
14,Africa/Cairo,1982,Egypt,120,60,7,25,-1,0,03:00,10,1,-1,0,04:00
15,Africa/Cairo,1983,Egypt,120,60,7,12,-1,0,03:00,10,1,-1,0,04:00
16,Africa/Cairo,1984,Egypt,120,60,5,1,-1,0,03:00,10,1,-1,0,04:00
17,Africa/Cairo,1989,Egypt,120,60,5,6,-1,0,03:00,10,1,-1,0,04:00
18,Africa/Cairo,1990,Egypt,120,60,5,1,-1,0,03:00,10,1,-1,0,04:00
19,Africa/Cairo,1995,Egypt,120,60,4,-1,5,0,02:00,9,-1,4,0,25:00
20,Africa/Cairo,2006,Egypt,120,60,4,-1,5,0,02:00,9,21,-1,0,25:00
21,Africa/Cairo,2007,Egypt,120,60,4,-1,5,0,02:00,9,1,4,0,25:00
22,Africa/Cairo,2008,Egypt,120,60,4,-1,5,0,02:00,8,-1,4,0,25:00
23,Africa/Cairo,2009,Egypt,120,60,4,-1,5,0,02:00,8,20,-1,0,25:00
24,Africa/Cairo,2010,Egypt,120,60,9,9,-1,0,26:00,9,-1,4,0,25:00
25,Africa/Cairo,2014,Egypt,120,60,7,31,-1,0,26:00,9,-1,4,0,25:00
26,Africa/Cairo,2015,Egypt,120,0,7,31,-1,0,26:00,9,-1,4,0,25:00
27,Africa/Accra,1970,Ghana,0,0,9,1,-1,0,00:00,12,31,-1,0,-1:00
28,Africa/Bissau,1970,,-60,0,0,0,0,0,00:00,0,0,0,0,00:00
29,Africa/Bissau,1975,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
30,Africa/Nairobi,1970,,180,0,0,0,0,0,00:00,0,0,0,0,00:00
31,Africa/Monrovia,1970,,-44,0,0,0,0,0,00:00,0,0,0,0,00:00
32,Africa/Monrovia,1972,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
33,Africa/Tripoli,1970,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
34,Africa/Tripoli,1982,Libya,60,60,4,1,-1,0,01:00,10,1,-1,0,00:00
35,Africa/Tripoli,1985,Libya,60,60,4,6,-1,0,01:00,10,1,-1,0,00:00
36,Africa/Tripoli,1986,Libya,60,60,4,4,-1,0,01:00,10,3,-1,0,00:00
37,Africa/Tripoli,1987,Libya,60,60,4,1,-1,0,01:00,10,1,-1,0,00:00
38,Africa/Tripoli,1990,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
39,Africa/Tripoli,1996,Libya,60,0,0,0,0,0,00:00,0,0,0,0,00:00
40,Africa/Tripoli,1997,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
41,Africa/Tripoli,2012,Libya,60,0,0,0,0,0,00:00,0,0,0,0,00:00
42,Africa/Tripoli,2013,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
43,Indian/Mauritius,1970,Mauritius,240,0,0,0,0,0,00:00,0,0,0,0,00:00
44,Indian/Mauritius,1982,Mauritius,240,60,10,10,-1,0,04:00,1,1,-1,0,15:00
45,Indian/Mauritius,1983,Mauritius,240,0,12,31,-1,0,16:00,3,21,-1,0,03:00
46,Indian/Mauritius,2008,Mauritius,240,60,10,-1,0,0,06:00,1,1,-1,0,15:00
47,Indian/Mauritius,2009,Mauritius,240,0,12,31,-1,0,16:00,3,-1,0,0,05:00
48,Africa/Casablanca,1970,Morocco,0,60,6,3,-1,0,12:00,10,1,-1,0,-1:00
49,Africa/Casablanca,1974,Morocco,0,60,6,24,-1,0,00:00,9,1,-1,0,-1:00
50,Africa/Casablanca,1976,Morocco,0,60,5,1,-1,0,00:00,8,1,-1,0,-1:00
51,Africa/Casablanca,1977,Morocco,0,60,5,1,-1,0,00:00,9,28,-1,0,-1:00
52,Africa/Casablanca,1978,Morocco,0,60,6,1,-1,0,00:00,8,4,-1,0,-1:00
53,Africa/Casablanca,1984,,60,0,0,0,0,0,00:00,0,0,0,0,00:00
54,Africa/Casablanca,1986,Morocco,0,0,0,0,0,0,00:00,0,0,0,0,00:00
55,Africa/Casablanca,2008,Morocco,0,60,6,1,-1,0,00:00,9,1,-1,0,-1:00
56,Africa/Casablanca,2009,Morocco,0,60,6,1,-1,0,00:00,8,21,-1,0,-1:00
57,Africa/Casablanca,2010,Morocco,0,60,5,2,-1,0,00:00,8,8,-1,0,-1:00
58,Africa/Casablanca,2011,Morocco,0,60,4,3,-1,0,00:00,7,31,-1,0,-1:00
59,Africa/Casablanca,2012,Morocco,0,60,8,20,-1,0,02:00,9,30,-1,0,02:00
60,Africa/Casablanca,2013,Morocco,0,60,8,10,-1,0,02:00,10,-1,0,0,02:00
61,Africa/Casablanca,2014,Morocco,0,60,8,2,-1,0,02:00,6,28,-1,0,02:00
62,Africa/Casablanca,2015,Morocco,0,60,7,19,-1,0,02:00,6,14,-1,0,02:00
63,Africa/Casablanca,2016,Morocco,0,60,7,10,-1,0,02:00,6,5,-1,0,02:00
64,Africa/Casablanca,2017,Morocco,0,60,7,2,-1,0,02:00,5,21,-1,0,02:00
65,Africa/Casablanca,2018,Morocco,0,60,6,17,-1,0,02:00,5,13,-1,0,02:00
66,Africa/Casablanca,2019,Morocco,0,60,6,9,-1,0,02:00,5,5,-1,0,02:00
67,Africa/Casablanca,2020,Morocco,0,60,5,24,-1,0,02:00,4,19,-1,0,02:00
68,Africa/Casablanca,2021,Morocco,0,60,5,16,-1,0,02:00,4,11,-1,0,02:00
69,Africa/Casablanca,2022,Morocco,0,60,5,8,-1,0,02:00,10,-1,0,0,02:00
70,Africa/Casablanca,2023,Morocco,0,60,4,23,-1,0,02:00,10,-1,0,0,02:00
71,Africa/Casablanca,2024,Morocco,0,60,4,14,-1,0,02:00,10,-1,0,0,02:00
72,Africa/Casablanca,2025,Morocco,0,60,4,6,-1,0,02:00,10,-1,0,0,02:00
73,Africa/Casablanca,2026,Morocco,0,60,3,-1,0,0,02:00,10,-1,0,0,02:00
74,Africa/El_Aaiun,1970,,-60,0,0,0,0,0,00:00,0,0,0,0,00:00
75,Africa/El_Aaiun,1976,Morocco,0,60,5,1,-1,0,00:00,8,1,-1,0,-1:00
76,Africa/El_Aaiun,1977,Morocco,0,60,5,1,-1,0,00:00,9,28,-1,0,-1:00
77,Africa/El_Aaiun,1978,Morocco,0,60,6,1,-1,0,00:00,8,4,-1,0,-1:00
78,Africa/El_Aaiun,2008,Morocco,0,60,6,1,-1,0,00:00,9,1,-1,0,-1:00
79,Africa/El_Aaiun,2009,Morocco,0,60,6,1,-1,0,00:00,8,21,-1,0,-1:00
80,Africa/El_Aaiun,2010,Morocco,0,60,5,2,-1,0,00:00,8,8,-1,0,-1:00
81,Africa/El_Aaiun,2011,Morocco,0,60,4,3,-1,0,00:00,7,31,-1,0,-1:00
82,Africa/El_Aaiun,2012,Morocco,0,60,8,20,-1,0,02:00,9,30,-1,0,02:00
83,Africa/El_Aaiun,2013,Morocco,0,60,8,10,-1,0,02:00,10,-1,0,0,02:00
84,Africa/El_Aaiun,2014,Morocco,0,60,8,2,-1,0,02:00,6,28,-1,0,02:00
85,Africa/El_Aaiun,2015,Morocco,0,60,7,19,-1,0,02:00,6,14,-1,0,02:00
86,Africa/El_Aaiun,2016,Morocco,0,60,7,10,-1,0,02:00,6,5,-1,0,02:00
87,Africa/El_Aaiun,2017,Morocco,0,60,7,2,-1,0,02:00,5,21,-1,0,02:00
88,Africa/El_Aaiun,2018,Morocco,0,60,6,17,-1,0,02:00,5,13,-1,0,02:00
89,Africa/El_Aaiun,2019,Morocco,0,60,6,9,-1,0,02:00,5,5,-1,0,02:00
90,Africa/El_Aaiun,2020,Morocco,0,60,5,24,-1,0,02:00,4,19,-1,0,02:00
