id,name,year,rule,gmtoff,dstoff,dst_month,dst_startday,dst_weekday,dst_skipweeks,dst_time,std_month,std_startday,std_weekday,std_skipweeks,std_time
60,Africa/Casablanca,1976,Morocco,0,60,5,1,-1,0,00:00,8,1,-1,0,-1:00
61,Africa/Casablanca,1977,Morocco,0,60,5,1,-1,0,00:00,9,28,-1,0,-1:00
62,Africa/Casablanca,1978,Morocco,0,60,6,1,-1,0,00:00,8,4,-1,0,-1:00
63,Africa/Casablanca,1984,,60,0,0,0,0,0,00:00,0,0,0,0,00:00
64,Africa/Casablanca,1986,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
65,Africa/El_Aaiun,1970,,-60,0,0,0,0,0,00:00,0,0,0,0,00:00
66,Africa/El_Aaiun,1976,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
67,Africa/Maputo,1970,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
68,Africa/Windhoek,1970,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
69,Africa/Windhoek,1990,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
70,Africa/Windhoek,1994,Namibia,60,60,9,1,0,0,03:00,1,1,-1,0,12:00
71,Africa/Windhoek,1995,Namibia,60,60,9,1,0,0,03:00,4,1,0,0,02:00
72,Africa/Niamey,1970,,60,0,0,0,0,0,00:00,0,0,0,0,00:00
73,Africa/Lagos,1970,,60,0,0,0,0,0,00:00,0,0,0,0,00:00
74,Indian/Reunion,1970,,240,0,0,0,0,0,00:00,0,0,0,0,00:00
75,Africa/Kigali,1970,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
76,Atlantic/St_Helena,1970,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
77,Africa/Sao_Tome,1970,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
78,Africa/Dakar,1970,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
79,Indian/Mahe,1970,,240,0,0,0,0,0,00:00,0,0,0,0,00:00
80,Africa/Freetown,1970,SL,0,60,6,1,-1,0,00:00,9,1,-1,0,-1:00
81,Africa/Mogadishu,1970,,180,0,0,0,0,0,00:00,0,0,0,0,00:00
82,Africa/Johannesburg,1970,SA,120,0,12,31,-1,0,14:00,3,15,0,0,03:00
83,Africa/Khartoum,1970,Sudan,120,60,5,1,-1,0,02:00,10,15,-1,0,01:00
84,Africa/Khartoum,1971,Sudan,120,60,4,30,-1,0,02:00,10,15,-1,0,01:00
85,Africa/Khartoum,1972,Sudan,120,60,4,-1,0,0,02:00,10,15,-1,0,01:00
86,Africa/Khartoum,2000,,180,0,0,0,0,0,00:00,0,0,0,0,00:00
87,Africa/Mbabane,1970,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
88,Africa/Dar_es_Salaam,1970,,180,0,0,0,0,0,00:00,0,0,0,0,00:00
89,Africa/Lome,1970,,0,0,0,0,0,0,00:00,0,0,0,0,00:00
90,Africa/Tunis,1970,Tunisia,60,60,4,1,1,0,03:00,9,16,-1,0,00:00
91,Africa/Tunis,1977,Tunisia,60,60,4,30,-1,0,01:00,9,24,-1,0,01:00
92,Africa/Tunis,1978,Tunisia,60,60,5,1,-1,0,01:00,10,1,-1,0,01:00
93,Africa/Tunis,1988,Tunisia,60,60,6,1,-1,0,01:00,9,-1,0,0,01:00
94,Africa/Tunis,1989,Tunisia,60,60,3,26,-1,0,01:00,9,-1,0,0,01:00
95,Africa/Tunis,1990,Tunisia,60,60,5,1,-1,0,01:00,9,-1,0,0,01:00
96,Africa/Kampala,1970,,180,0,0,0,0,0,00:00,0,0,0,0,00:00
97,Africa/Lusaka,1970,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
98,Africa/Harare,1970,,120,0,0,0,0,0,00:00,0,0,0,0,00:00
99,Asia/Kabul,1970,,270,0,0,0,0,0,00:00,0,0,0,0,00:00
100,Asia/Yerevan,1970,RussiaAsia,240,0,0,0,0,0,00:00,0,0,0,0,00:00
101,Asia/Yerevan,1981,RussiaAsia,240,60,4,1,-1,0,04:00,10,1,-1,0,03:00
102,Asia/Yerevan,1984,RussiaAsia,240,60,4,1,-1,0,04:00,9,-1,0,0,06:00
103,Asia/Yerevan,1985,RussiaAsia,240,60,3,-1,0,0,06:00,9,-1,0,0,06:00
104,Asia/Yerevan,1991,RussiaAsia,180,60,3,-1,0,0,05:00,9,-1,0,0,05:00
105,Asia/Yerevan,1992,RussiaAsia,180,60,3,-1,6,0,26:00,9,-1,6,0,25:00
106,Asia/Yerevan,1993,RussiaAsia,180,60,3,-1,0,0,05:00,9,-1,0,0,05:00
107,Asia/Yerevan,1995,,240,0,0,0,0,0,00:00,0,0,0,0,00:00
108,Asia/Yerevan,1997,RussiaAsia,240,60,3,-1,0,0,06:00,10,-1,0,0,06:00
109,Asia/Baku,1970,RussiaAsia,240,0,0,0,0,0,00:00,0,0,0,0,00:00
110,Asia/Baku,1981,RussiaAsia,240,60,4,1,-1,0,04:00,10,1,-1,0,03:00
111,Asia/Baku,1984,RussiaAsia,240,60,4,1,-1,0,04:00,9,-1,0,0,06:00
112,Asia/Baku,1985,RussiaAsia,240,60,3,-1,0,0,06:00,9,-1,0,0,06:00
113,Asia/Baku,1991,RussiaAsia,180,60,3,-1,0,0,05:00,9,-1,0,0,05:00
114,Asia/Baku,1992,,240,0,0,0,0,0,00:00,0,0,0,0,00:00
115,Asia/Baku,1996,EUAsia,240,60,3,-1,0,0,1:00,10,-1,0,0,1:00
116,Asia/Baku,1997,Azer,240,60,3,-1,0,0,05:00,10,-1,0,0,04:00
117,Asia/Bahrain,1970,,240,0,0,0,0,0,00:00,0,0,0,0,00:00
118,Asia/Bahrain,1972,,180,0,0,0,0,0,00:00,0,0,0,0,00:00
119,Asia/Dhaka,1970,,360,0,0,0,0,0,00:00,0,0,0,0,00:00
120,Asia/Dhaka,1971,,360,0,0,0,0,0,00:00,0,0,0,0,00:00
121,Asia/Thimphu,1970,,330,0,0,0,0,0,00:00,0,0,0,0,00:00
122,Asia/Thimphu,1987,,360,0,0,0,0,0,00:00,0,0,0,0,00:00
124,Indian/Chagos,1996,,360,0,0,0,0,0,00:00,0,0,0,0,00:00
125,Asia/Brunei,1970,,480,0,0,0,0,0,00:00,0,0,0,0,00:00
126,Asia/Rangoon,1970,,390,0,0,0,0,0,00:00,0,0,0,0,00:00
127,Asia/Phnom_Penh,1970,,420,0,0,0,0,0,00:00,0,0,0,0,00:00
128,Asia/Harbin,1970,,510,0,0,0,0,0,00:00,0,0,0,0,00:00
129,Asia/Harbin,1980,PRC,480,0,0,0,0,0,00:00,0,0,0,0,00:00
130,Asia/Harbin,1986,PRC,480,60,5,4,-1,0,08:00,9,11,0,0,07:00
131,Asia/Harbin,1987,PRC,480,60,4,10,0,0,08:00,9,11,0,0,07:00
132,Asia/Shanghai,1970,PRC,480,0,12,31,-1,0,20:00,1,1,-1,0,07:00
133,Asia/Shanghai,1986,PRC,480,60,5,4,-1,0,08:00,9,11,0,0,07:00
134,Asia/Shanghai,1987,PRC,480,60,4,10,0,0,08:00,9,11,0,0,07:00
135,Asia/Chongqing,1970,,420,0,0,0,0,0,00:00,0,0,0,0,00:00
136,Asia/Chongqing,1980,PRC,480,0,0,0,0,0,00:00,0,0,0,0,00:00
137,Asia/Chongqing,1986,PRC,480,60,5,4,-1,0,08:00,9,11,0,0,07:00
138,Asia/Chongqing,1987,PRC,480,60,4,10,0,0,08:00,9,11,0,0,07:00
139,Asia/Urumqi,1970,,360,0,0,0,0,0,00:00,0,0,0,0,00:00
140,Asia/Urumqi,1980,PRC,480,0,0,0,0,0,00:00,0,0,0,0,00:00
141,Asia/Urumqi,1986,PRC,480,60,5,4,-1,0,08:00,9,11,0,0,07:00
142,Asia/Urumqi,1987,PRC,480,60,4,10,0,0,08:00,9,11,0,0,07:00
143,Asia/Kashgar,1970,,300,0,0,0,0,0,00:00,0,0,0,0,00:00
144,Asia/Kashgar,1980,PRC,480,0,0,0,0,0,00:00,0,0,0,0,00:00
145,Asia/Kashgar,1986,PRC,480,60,5,4,-1,0,08:00,9,11,0,0,07:00
146,Asia/Kashgar,1987,PRC,480,60,4,10,0,0,08:00,9,11,0,0,07:00
147,Asia/Hong_Kong,1970,HK,480,60,4,16,0,0,11:30,10,16,0,0,10:30
148,Asia/Hong_Kong,1979,HK,480,60,5,8,0,0,11:30,10,16,0,0,10:30
149,Asia/Taipei,1970,Taiwan,480,60,6,1,-1,0,08:00,10,1,-1,0,07:00
150,Asia/Taipei,1974,Taiwan,480,60,4,1,-1,0,08:00,10,1,-1,0,07:00
151,Asia/Taipei,1980,Taiwan,480,60,6,30,-1,0,08:00,9,30,-1,0,07:00
152,Asia/Macau,1970,Macau,480,60,4,16,0,0,11:30,10,16,0,0,10:30
153,Asia/Macau,1972,Macau,480,60,4,15,0,0,08:00,10,15,0,0,07:00
154,Asia/Macau,1974,Macau,480,60,4,15,0,0,08:00,10,15,0,0,10:30
155,Asia/Macau,1975,Macau,480,60,4,15,0,0,11:30,10,15,0,0,10:30
156,Asia/Macau,1978,Macau,480,60,4,15,0,0,08:00,10,15,0,0,07:00
157,Asia/Macau,1999,PRC,480,60,4,15,0,0,08:00,10,15,0,0,07:00
158,Asia/Nicosia,1970,Cyprus,120,0,0,0,0,0,00:00,0,0,0,0,00:00
159,Asia/Nicosia,1975,Cyprus,120,60,4,13,-1,0,02:00,10,12,-1,0,01:00
160,Asia/Nicosia,1976,Cyprus,120,60,5,15,-1,0,02:00,10,11,-1,0,01:00
161,Asia/Nicosia,1977,Cyprus,120,60,4,1,0,0,02:00,9,25,-1,0,01:00
162,Asia/Nicosia,1978,Cyprus,120,60,4,1,0,0,02:00,10,2,-1,0,01:00
163,Asia/Nicosia,1979,Cyprus,120,60,4,1,0,0,02:00,9,-1,0,0,01:00
164,Asia/Nicosia,1981,Cyprus,120,60,3,-1,0,0,02:00,9,-1,0,0,01:00
165,Asia/Nicosia,1998,EUAsia,120,60,3,-1,0,0,1:00,10,-1,0,0,1:00
166,Asia/Tbilisi,1970,RussiaAsia,240,0,0,0,0,0,00:00,0,0,0,0,00:00
167,Asia/Tbilisi,1981,RussiaAsia,240,60,4,1,-1,0,04:00,10,1,-1,0,03:00
168,Asia/Tbilisi,1984,RussiaAsia,240,60,4,1,-1,0,04:00,9,-1,0,0,06:00
169,Asia/Tbilisi,1985,RussiaAsia,240,60,3,-1,0,0,06:00,9,-1,0,0,06:00
170,Asia/Tbilisi,1991,RussiaAsia,180,60,3,-1,0,0,05:00,9,-1,0,0,05:00
171,Asia/Tbilisi,1992,E-EurAsia,180,60,3,-1,0,0,03:00,9,-1,0,0,02:00
172,Asia/Tbilisi,1994,E-EurAsia,240,60,3,-1,0,0,04:00,9,-1,0,0,03:00
173,Asia/Tbilisi,1996,,240,0,0,0,0,0,00:00,0,0,0,0,00:00
174,Asia/Tbilisi,1997,E-EurAsia,240,60,3,-1,0,0,04:00,10,-1,0,0,03:00
175,Asia/Tbilisi,2004,RussiaAsia,180,60,3,-1,0,0,05:00,10,-1,0,0,05:00
176,Asia/Dili,1970,,540,0,0,0,0,0,00:00,0,0,0,0,00:00
177,Asia/Dili,1976,,480,0,0,0,0,0,00:00,0,0,0,0,00:00
178,Asia/Dili,2000,,540,0,0,0,0,0,00:00,0,0,0,0,00:00
179,Asia/Calcutta,1970,,330,0,0,0,0,0,00:00,0,0,0,0,00:00
181,Asia/Pontianak,1970,,480,0,0,0,0,0,00:00,0,0,0,0,00:00
182,Asia/Pontianak,1988,,420,0,0,0,0,0,00:00,0,0,0,0,00:00
183,Asia/Makassar,1970,,480,0,0,0,0,0,00:00,0,0,0,0,00:00
184,Asia/Jayapura,1970,,540,0,0,0,0,0,00:00,0,0,0,0,00:00
185,Asia/Tehran,1970,,210,0,0,0,0,0,00:00,0,0,0,0,00:00
186,Asia/Tehran,1977,Iran,240,0,0,0,0,0,00:00,0,0,0,0,00:00
187,Asia/Tehran,1978,Iran,240,60,3,21,-1,0,04:00,10,21,-1,0,03:00
188,Asia/Tehran,1979,Iran,210,60,3,21,-1,0,03:30,9,19,-1,0,02:30
189,Asia/Tehran,1980,Iran,210,60,3,21,-1,0,03:30,9,23,-1,0,02:30
190,Asia/Tehran,1991,Iran,210,60,5,3,-1,0,03:30,9,22,-1,0,02:30
191,Asia/Tehran,1992,Iran,210,60,3,22,-1,0,03:30,9,22,-1,0,02:30
192,Asia/Tehran,1996,Iran,210,60,3,21,-1,0,03:30,9,21,-1,0,02:30
193,Asia/Tehran,1997,Iran,210,60,3,22,-1,0,03:30,9,22,-1,0,02:30
194,Asia/Tehran,2000,Iran,210,60,3,21,-1,0,03:30,9,21,-1,0,02:30
195,Asia/Tehran,2001,Iran,210,60,3,22,-1,0,03:30,9,22,-1,0,02:30
196,Asia/Tehran,2004,Iran,210,60,3,21,-1,0,03:30,9,21,-1,0,02:30
